Unnamed: 0,quote,author,tags
1162,"“Life is to be enjoyed, not endured”",Gordon B. Hinckley,life
1188,“I lived in books more than I lived anywhere else.”,"Neil Gaiman,",books
1231,“This is your life and its ending one moment at a time.”,"Chuck Palahniuk,",life
1258,"“The greater the love, the greater the tragedy when it's over.”","Nicholas Sparks,",love
1290,“A book must be the axe for the frozen sea within us.”,Franz Kafka,books
1309,“I wantTo do with you what spring does with the cherry trees.”,"Pablo Neruda,",love
1311,“You is kind. You is smart. You is important.”,"Kathryn Stockett,",inspirational
1316,"“If you are irritated by every rub, how will your mirror be polished?”",Rumi,inspirational
1350,"“We waste time looking for the perfect lover, instead of creating the perfect love.”",Tom Robbins,love
1356,"“You were born with wings, why prefer to crawl through life?”",Rumi,inspirational
1380,“Gravitation is not responsible for people falling in love.”,Albert Einstein,love
1403,"“People say that life is the thing, but I prefer reading.”",Logan Pearsall Smith,life
1478,"“I wasn't actually in love, but I felt a sort of tender curiosity.”","F. Scott Fitzgerald,",love
1483,"“â€ŽLife is a shipwreck, but we must not forget to sing in the lifeboats.”",Voltaire,inspirational
1484,“Happiness [is] only real when shared”,"Jon Krakauer,",inspirational
1488,“That it will never come again is what makes life so sweet.”,Emily Dickinson,life
1570,“I cannot sleep unless I am surrounded by books.”,Jorge Luis Borges,books
1583,“Better to be strong than pretty and useless.”,"Lilith Saintcrow,",inspirational
1637,“A good traveler has no fixed plans and is not intent on arriving.”,Lao Tzu,life
1701,“Today was good. Today was fun. Tomorrow is another one.”,Dr. Seuss,humor
1710,"“Yes, frosting. The final defense of the dying.”","Suzanne Collins,",humor
1748,“The library is inhabited by spirits that come out of the pages at night.”,Isabel Allende,books
1766,“Wisdom comes from experience. Experience is often a result of lack of wisdom.”,Terry Pratchett,humor
1802,“To love oneself is the beginning of a lifelong romance.”,"Oscar Wilde,",love
1803,“Respect was invented to cover the empty place where love should be.”,"Leo Tolstoy,",love
1832,“A half-read book is a half-finished love affair.”,"David Mitchell,",books
1852,“What's the good of living if you don't try a few things?”,Charles M. Schulz,inspirational
1903,"“Go on with what your heart tells you, or you will lose all.”","Rick Riordan,",inspirational
1923,"“From there to here, from here to there, funny things are everywhere!”","Dr. Seuss,",humor
1981,“Try a little harder to be a little better.”,Gordon B. Hinckley,inspirational
1993,“Even strength must bow to wisdom sometimes.”,"Rick Riordan,",inspirational
2026,"“How nice -- to feel nothing, and still get full credit for being alive.”","Kurt Vonnegut,",life
2040,“Ask not what you can do for your country. Ask whatâ€™s for lunch.”,Orson Welles,humor
2112,“Tears are words that need to be written.”,Paulo Coelho,inspirational
2147,“Don't let the bastards grind you down.”,"Margaret Atwood,",inspirational
2162,“I like flaws. I think they make things interesting.”,"Sarah Dessen,",love
2180,"“We're staying together,"" he promised. ""You're not getting away from me. Never again.”","Rick Riordan,",love
2181,“True love is usually the most inconvenient kind.”,"Kiera Cass,",love
2207,“Black holes are where God divided by zero.”,Albert Einstein,humor
2232,"“I've lived through some terrible things in my life, some of which actually happened.”",Mark Twain,humor
2267,“A smile is a curve that sets everything straight.”,Phyllis Diller,humor
2368,"“Atticus, he was real nice.""""Most people are, Scout, when you finally see them.”","Harper Lee,",inspirational
2466,“I have nothing to declare except my genius.”,Oscar Wilde,humor
2481,“Trees that are slow to grow bear the best fruit.”,Moliere,inspirational
2507,“Don't cry over someone who wouldn't cry over you.”,Lauren Conrad,love
2508,“You can only be young once. But you can always be immature.”,Pat  Monahan,humor
2622,“Nothing takes the taste out of peanut butter quite like unrequited love.”,Charles M. Schulz,love
2640,"“Shoot for the moon. Even if you miss, you'll land among the stars.”",Norman Vincent Peale,inspirational
2694,"“Luxury is not a necessity to me, but beautiful and good things are.”",Anais Nin,life
2733,“Maybe this world is another planetâ€™s hell.”,Aldous Huxley,life
2760,"“Five exclamation marks, the sure sign of an insane mind.”","Terry Pratchett,",humor
2801,“To lose balance sometimes for love is part of living a balancedlife.”,"Elizabeth Gilbert,",love
2807,“Ask for what you want and be prepared to get it!”,Maya Angelou,inspirational
2841,"“Life doesn't imitate art, it imitates bad television.”",Woody Allen,humor
2875,“It crosses my mind that Cinna's calm and normal demeanor masks a complete madman.”,"Suzanne Collins,",humor
2902,"“People, generally, suck.”","Christopher Moore,",humor
2990,“I am a part of all that I have met.”,"Alfred Tennyson,",inspirational
