Id,quote,author,tags
413,"“Nobody has ever measured, not even poets, how much the heart can hold.”",Zelda Fitzgerald,love
423,“Get busy living or get busy dying.”,"Stephen King,",life
426,"“If my life is going to mean anything, I have to live it myself.”","Rick Riordan,",life
439,“We loved with a love that was more than love.”,Edgar Allen Poe,love
457,“Anyone who lives within their means suffers from a lack of imagination.”,Oscar Wilde,life
491,“Any fool can know. The point is to understand.”,Albert Einstein,wisdom
525,“Always do what you are afraid to do.”,Ralph Waldo Emerson,inspirational
533,“In a time of deceit telling the truth is a revolutionary act.”,George Orwell,truth
534,“Our lives begin to end the day we become silent about things that matter.”,"Martin Luther King Jr.,",inspirational
554,“A thing is not necessarily true because a man dies for it.”,Oscar Wilde,truth
558,“Hearts are made to be broken.”,"Oscar Wilde,",love
569,"“There is nothing either good or bad, but thinking makes it so.”","William Shakespear,",philosophy
570,“Fantasy is hardly an escape from reality. It's a way of understanding it.”,Lloyd Alexander,inspirational
572,"“Two people in love, alone, isolated from the world, that's beautiful.”",Milan Kundera,love
579,“Where is human nature so weak as in the bookstore?”,Henry Ward Beecherr,humor
584,“I cannot live without books.”,Thomas Jefferson,books
592,“Hell is empty and all the devils are here.”,"William Shakespeare,",inspirational
604,“The most important thing is to enjoy your life to be happy it's all that matters.”,Audrey Hepburn,life
615,“Never let your sense of morals prevent you from doing what is right.”,"Isaac Asimov,",philosophy
624,“I generally avoid temptation unless I can't resist it.”,Mae West,humor
628,"“Love is so short, forgetting is so long.”","Pablo Neruda,",love
629,“Books are mirrors: you only see in them what you already have inside you.”,"Carlos Ruiz Zafón,",truth
633,"“Take responsibility of your own happiness, never put it in other peoples hands.”","Roy T. Bennett,",inspirational
638,“Good books don't give up all their secrets at once.”,Stephen King,books
641,“The very essence of romance is uncertainty.”,"Oscar Wilde,",love
643,“The unexamined life is not worth living.”,Socrates,wisdom
652,"“If you remember me, then I don't care if everyone else forgets.”","Haruki Murakami,",love
661,“Books may well be the only true magic.”,Alice Hoffman,books
666,“Turn your wounds into wisdom.”,Oprah Winfrey,inspirational
682,"“Many people, myself among them, feel better at the mere sight of a book.”","Jane Smiley,",books
699,“There are worse crimes than burning books. One of them is not reading them.”,Joseph Brodsky,reading
701,“That's the thing about books. They let you travel without moving your feet.”,"Jhumpa Lahiri,",books
711,“You must stay drunk on writing so reality cannot destroy you.”,"Ray Bradbury,",writing
738,"“Man may have discovered fire, but women discovered how to play with it.”","Candace Bushnell,",love
744,"“If you have a garden and a library, you have everything you need.”",Cicero,books
750,“I lie to myself all the time. But I never believe me.”,"S.E. Hinton,",truth
753,“Time flies like an arrow; fruit flies like a banana.”,Anthony G. Oettinger,humor
764,“Stories of imagination tend to upset those without one.”,Terry Pratchett,humor
774,“Deadlines just aren't real to me until I'm staring one in the face.”,"Rick Riordan,",humor
781,“The future belongs to those who believe in the beauty of their dreams.”,Eleanor Roosevelt,inspirational
791,"“It was love at first sight, at last sight, at ever and ever sight.”","Vladimir Nabokov,",love
796,“My tastes are simple: I am easily satisfied with the best.”,Winston S. Churchill,humor
806,“Angry people are not always wise.”,"Jane Austen,",wisdom
812,"“She is too fond of books, and it has turned her brain.”","Louisa May Alcott,",books
815,“No medicine cures what happiness cannot.”,Gabriel García Márquez,happiness
820,“Fiction is the truth inside the lie.”,Stephen King,writing
830,“The road to hell is paved with adverbs.”,"Stephen King,",writing
847,“Life's under no obligation to give us what we expect.”,Margaret Mitchell,life
874,“The truth does not change according to our ability to stomach it.”,Flannery O'Connor,truth
893,“There is nothing in the world so irresistibly contagious as laughter and good humor.”,"Charles Dickens,",humor
934,“Trust yourself. You know more than you think you do.”,Benjamin Spock,philosophy
937,"“Do what is right, not what is easy nor what is popular.”","Roy T. Bennett,",inspirational
940,"“Without deviation from the norm, progress is not possible.”",Frank Zappa,philosophy
957,"“People say nothing is impossible, but I do nothing every day.”","A.A. Milne,",inspirational
971,“Some people have lives; some people have music.”,"John Green,",life
984,“We live for books.”,Umberto Eco,reading
1004,“Only a true best friend can protect you from your immortal enemies.”,"Richelle Mead,",humor
1019,“Declarations of love amuse me. Especially when unrequited.”,"Cassandra Clare,",love
1036,“The scariest moment is always just before you start.”,"Stephen King,",writing
1037,“It's kind of fun to do the impossible.”,Walt Disney,inspirational
1039,"“Do you think I'm pretty?I think you're beautifulBeautiful?You are so beautiful, it hurts sometimes.”","Richelle Mead,",love
1058,“I love you. Remember. They cannot take it”,"Lauren Oliver,",love
1070,“Reading one book is like eating one potato chip.”,"Diane Duane,",books
1079,“You never fail until you stop trying.”,Albert Einstein,inspirational
1083,“I read a book one day and my whole life was changed.”,"Orhan Pamuk,",reading
1093,“All the darkness in the world cannot extinguish the light of a single candle.”,"St. Francis Of Assisi,",inspirational
1097,“Writing is a socially acceptable form of schizophrenia.”,E.L. Doctorow,writing
1100,“Love is an irresistible desire to be irresistibly desired.”,Robert Frost,love
1110,"“The more I see, the less I know for sure.”",John Lennon,life
1111,“There is no real ending. It's just the place where you stop the story.”,Frank Herbert,writing
1113,"“There are no facts, only interpretations.”",Friedrich Nietzsche,truth
1120,"“If I can stop one heart from breaking, I shall not live in vain.”",Emily Dickinson,life
1135,"“Pursue what catches your heart, not what catches your eyes.”","Roy T. Bennett,",life
1140,"“Basically, I have two speeds.... Hostile or smart-aleck. Your choice.”","James Patterson,",humor
1148,“Live to the point of tears.”,Albert Camus,life
1159,“Find what you love and let it kill you.”,Charles Bukowski,love
1162,"“Life is to be enjoyed, not endured”",Gordon B. Hinckley,life
1184,“History will be kind to me for I intend to write it.”,Winston S. Churchill,writing
1188,“I lived in books more than I lived anywhere else.”,"Neil Gaiman,",books
1231,“This is your life and its ending one moment at a time.”,"Chuck Palahniuk,",life
1258,"“The greater the love, the greater the tragedy when it's over.”","Nicholas Sparks,",love
1290,“A book must be the axe for the frozen sea within us.”,Franz Kafka,books
1309,“I wantTo do with you what spring does with the cherry trees.”,"Pablo Neruda,",love
1311,“You is kind. You is smart. You is important.”,"Kathryn Stockett,",inspirational
1316,"“If you are irritated by every rub, how will your mirror be polished?”",Rumi,inspirational
1338,“The first draft of anything is shit.”,Ernest Hemingway,writing
1350,"“We waste time looking for the perfect lover, instead of creating the perfect love.”",Tom Robbins,love
1356,"“You were born with wings, why prefer to crawl through life?”",Rumi,inspirational
1364,“Life shrinks or expands in proportion to one's courage.”,Anais Nin,life
1371,“Even death has a heart.”,"Markus Zusak,",life
1380,“Gravitation is not responsible for people falling in love.”,Albert Einstein,love
1403,"“People say that life is the thing, but I prefer reading.”",Logan Pearsall Smith,life
1410,“I love you like a fat kid loves cake!”,Scott Adams,love
1428,“The best books... are those that tell you what you know already.”,"George Orwell,",reading
1438,"“If you ever find yourself in the wrong story, leave.”","Mo Willems,",philosophy
1447,"“Success is getting what you want, happiness is wanting what you get”",W. P. Kinsella,happiness
1483,"“Life is a shipwreck, but we must not forget to sing in the lifeboats.”",Voltaire,inspirational
1484,“Happiness [is] only real when shared”,"Jon Krakauer,",inspirational
1488,“That it will never come again is what makes life so sweet.”,Emily Dickinson,life
1497,“Time is an illusion. Lunchtime doubly so.”,"Douglas Adams,",philosophy
1504,“The past has no power over the present moment.”,Eckhart Tolle,philosophy
1517,“I'm not young enough to know everything.”,"J.M. Barrie,",wisdom
1522,"“You can, you should, and if you're brave enough to start, you will.”","Stephen King,",writing
1525,“Biology gives you a brain. Life turns it into a mind.”,"Jeffrey Eugenides,",life
1529,“Literature is the most agreeable way of ignoring life.”,"Fernando Pessoa,",reading
1539,“I've got nothing to do today but smile.”,Simon and Garfunkel,life
1558,“Failure is the condiment that gives success its flavor.”,Truman Capote,wisdom
1570,“I cannot sleep unless I am surrounded by books.”,Jorge Luis Borges,books
1613,“Maybe everyone can live beyond what they're capable of.”,"Markus Zusak,",inspirational
1636,"“When people don't express themselves, they die one piece at a time.”","Laurie Halse Anderson,",inspirational
1637,“A good traveler has no fixed plans and is not intent on arriving.”,Lao Tzu,life
1652,"“Knowledge speaks, but wisdom listens”",Jimi Hendrix,wisdom
1665,“Science and religion are not at odds. Science is simply too young to understand.”,"Dan Brown,",books
1672,"“Beauty is only skin deep, but ugly goes clean to the bone.”",Dorothy Parker,humor
1694,“A truth that's told with bad intentBeats all the lies you can invent.”,"William Blake,",philosophy
1710,"“Yes, frosting. The final defense of the dying.”","Suzanne Collins,",humor
1748,“The library is inhabited by spirits that come out of the pages at night.”,Isabel Allende,books
1766,“Wisdom comes from experience. Experience is often a result of lack of wisdom.”,Terry Pratchett,life
1771,"“Let me live, love, and say it well in good sentences”","Sylvia Plath,",writing
1802,“To love oneself is the beginning of a lifelong romance.”,"Oscar Wilde,",love
1831,“I am too fond of reading books to care to write them.”,"Oscar Wilde,",reading
1832,“A half-read book is a half-finished love affair.”,"David Mitchell,",reading
1839,“You can have it all. Just not all at once.”,Oprah Winfrey,life
1841,“Beautiful face. Beautiful body. Horrible attitude. It was the holy trinity of hot boys.”,"Jennifer L. Armentrout,",humor
1848,“A book lying idle on a shelf is wasted ammunition.”,"Henry Miller,",books
1852,“What's the good of living if you don't try a few things?”,Charles M. Schulz,humor
1855,“The happiness of your life depends upon the quality of your thoughts.”,"Marcus Aurelius,",happiness
1903,"“Go on with what your heart tells you, or you will lose all.”","Rick Riordan,",inspirational
1923,"“From there to here, from here to there, funny things are everywhere!”","Dr. Seuss,",humor
1927,“Kindness is a language which the deaf can hear and the blind can see.”,Mark Twain,inspirational
1939,“Happiness is holding someone in your arms and knowing you hold the whole world.”,"Orhan Pamuk,",love
1977,“A word after a word after a word is power.”,Margaret Atwood,reading
1981,“Try a little harder to be a little better.”,Gordon B. Hinckley,inspirational
1987,"“Who, being loved, is poor?”",Oscar Wilde,love
1993,“Even strength must bow to wisdom sometimes.”,"Rick Riordan,",wisdom
2010,“Reading brings us unknown friends”,Honore de Balzac,reading
2062,“To shine your brightest light is to be who you truly are.”,Roy T. Bennett,inspirational
2066,“Animals are my friends...and I don't eat my friends.”,George Bernard Shaw,humor
2089,“I have the simplest tastes. I am always satisfied with the best.”,Oscar Wilde,humor
2098,“Sell your cleverness and buy bewilderment.”,"Rumi,",wisdom
2106,“The heart has its reasons which reason knows not.”,Blaise Pascal,love
2120,“I must learn to be content with being happier than I deserve.”,"Jane Austen,",happiness
2147,“Don't let the bastards grind you down.”,"Margaret Atwood,",inspirational
2160,"“I don't think of all the misery, but of the beauty that still remains.”","Anne Frank,",inspirational
2162,“I like flaws. I think they make things interesting.”,"Sarah Dessen,",love
2190,"“The love of learning, the sequestered nooks,And all the sweet serenity of books”",Henry Wadsworth Longfellow,love
2197,“You can make anything by writing.”,C.S. Lewis,writing
2207,“Black holes are where God divided by zero.”,Albert Einstein,humor
2223,"“When I saw you I fell in love, and you smiled because you knew.”",Arrigo Boito,love
2227,"“Some people have a way with words, and other people...oh, uh, not have way.”",Steve Martin,humor
2232,"“I've lived through some terrible things in my life, some of which actually happened.”",Mark Twain,humor
2261,“Better a cruel truth than a comfortable delusion.”,Edward Abbey,truth
2267,“A smile is a curve that sets everything straight.”,Phyllis Diller,humor
2302,“My rapier wit hides my inner pain.”,Cassandra Clare,humor
2325,“The truth will set you free. But not until it is finished with you.”,"David Foster Wallace,",truth
2418,“The best way to cheer yourself is to try to cheer someone else up.”,Mark Twain,happiness
2466,“I have nothing to declare except my genius.”,Oscar Wilde,humor
2491,“Only a generation of readers will spawn a generation of writers.”,Steven Spielberg,reading
2501,“Books are no more threatened by Kindle than stairs by elevators.”,Stephen Fry,reading
2503,"“The question is not what you look at, but what you see.”",Henry David Thoreau,inspirational
2544,“Sometimes love means letting go when you want to hold on tighter.”,"Melissa Marr,",love
2580,“I'm happy. Which often looks like crazy.”,"David Henry Hwang,",happiness
2582,“Most men would rather deny a hard truth than face it.”,"George R.R. Martin,",truth
2594,“A paranoid is someone who knows a little of what's going on. ”,William S. Burroughs,philosophy
2611,“Keep your face always toward the sunshine - and shadows will fall behind you.”,Walt Whitman,inspirational
2622,“Nothing takes the taste out of peanut butter quite like unrequited love.”,Charles M. Schulz,love
2623,“You can't wait for inspiration. You have to go after it with a club.”,Jack London,writing
2640,"“Shoot for the moon. Even if you miss, you'll land among the stars.”",Norman Vincent Peale,inspirational
2658,"“Women want love to be a novel. Men, a short story.”",Daphne du Maurier,writing
2678,“The course of true love never did run smooth.”,"William Shakespeare,",love
2694,"“Luxury is not a necessity to me, but beautiful and good things are.”",Anais Nin,life
2698,“All thinking men are atheists.”,"Ernest Hemingway,",inspirational
2711,“He who knows all the answers has not been asked all the questions.”,Confucius,wisdom
2715,“You get what anybody gets - you get a lifetime.”,"Neil Gaiman,",life
2721,“No good deed goes unpunished.”,Oscar Wilde,humor
2724,"“The things we love destroy us every time, lad. Remember that.”","George R.R. Martin,",love
2730,“Humor is reason gone mad.”,Groucho Marx,humor
2733,“Maybe this world is another planets hell.”,Aldous Huxley,life
2760,"“Five exclamation marks, the sure sign of an insane mind.”","Terry Pratchett,",books
2791,“Life has no remote....get up and change it yourself!”,"Mark A. Cooper,",life
2797,“Music is ... A higher revelation than all Wisdom & Philosophy”,Ludwig van Beethoven,philosophy
2801,“To lose balance sometimes for love is part of living a balancedlife.”,"Elizabeth Gilbert,",love
2807,“Ask for what you want and be prepared to get it!”,Maya Angelou,inspirational
2809,"“It is not the length of life, but the depth.”",Ralph Waldo Emerson,life
2836,“It is better to offer no excuse than a bad one.”,George Washington,truth
2868,"“If you want to be happy, be.”",Tolstoy Leo,inspirational
2875,“It crosses my mind that Cinna's calm and normal demeanor masks a complete madman.”,"Suzanne Collins,",humor
2889,"“Happiness is not the absence of problems, it's the ability to deal with them.”","Steve Maraboli,",happiness
2893,"“He is half of my soul, as the poets say.”","Madeline Miller,",inspirational
2902,"“People, generally, suck.”","Christopher Moore,",humor
2995,“Morality is simply the attitude we adopt towards people we personally dislike.”,"Oscar Wilde,",philosophy
